,geno,dcc,passed,age_group,animal
1526,e4,0.1288415816390993,True,Mid,caf50
1527,e4,0.1546486029673615,False,Mid,caf50
1528,e4,0.03609382485976331,True,Mid,caf50
1529,e4,0.1235342830501851,True,Mid,caf50
1530,e4,0.011602270179746244,False,Mid,caf50
1531,e4,0.046480294074455086,True,Mid,caf50
1532,wt,0.13705998734254532,False,Young,caf92
1533,wt,0.029435684326606593,,Young,caf92
1536,wt,0.21219926196234074,False,Mid,caf26
1537,wt,0.34889537217013533,False,Mid,caf26
1538,wt,0.23397310855687903,False,Mid,caf26
1539,wt,0.21069675732422022,False,Mid,caf26
1540,wt,0.2633211295139237,True,Mid,caf26
1541,wt,0.36404171656365625,False,Mid,caf26
1542,wt,0.11791776838020396,False,Mid,caf26
1543,wt,0.03884408371960535,False,Mid,caf26
1559,e4,0.02498573366947543,True,Mid,caf50
1560,e4,0.06378598410590408,True,Mid,caf50
1570,wt,0.06049668603750691,True,Old,caf81
1571,wt,0.10345886693302764,True,Old,caf81
1572,wt,0.05585093115293649,True,Old,caf81
1573,wt,0.11623816983112922,True,Old,caf81
1574,wt,0.2323945842173103,True,Old,caf81
1575,wt,0.27742989221717207,True,Old,caf81
1576,wt,0.008777715246524709,False,Young,caf92
1581,wt,0.41340668427303773,False,Old,caf81
1582,wt,0.1546327949526387,True,Old,caf81
1583,wt,0.008659369308008591,True,Old,caf81
1584,wt,0.026379587526619952,False,Old,caf81
1585,wt,0.10724982585072418,True,Old,caf81
1586,wt,0.09181759505677989,False,Old,caf81
1587,wt,0.0420511513508135,True,Mid,caf26
1588,wt,0.5173817849987739,False,Mid,caf26
1589,wt,0.07403370626907524,False,Mid,caf26
1590,wt,0.2050617257818943,False,Mid,caf26
1591,wt,0.07468093035835399,False,Mid,caf26
1592,wt,0.3035479917532413,True,Mid,caf26
1593,wt,0.3977649402984482,,Mid,caf26
1594,wt,0.010127686935988756,True,Mid,caf26
1600,wt,0.0316541289958201,True,Young,caf95
1625,wt,0.03594562334880025,False,Young,caf92
1626,e4,0.05147174506619523,True,Mid,caf50
1627,e4,0.05760686968211992,True,Mid,caf50
1628,e4,0.19451902841669355,False,Mid,caf50
1629,e4,0.19589652669973967,False,Mid,caf50
1646,e4,0.05353036403445888,True,Mid,caf50
1647,e4,0.033948162109036284,True,Mid,caf50
1660,wt,0.2152331651413002,False,Young,caf95
1672,e4,0.03197239570736876,True,Mid,caf50
1673,e4,0.027607506648383406,True,Mid,caf50
1674,e4,0.014264230407265988,True,Mid,caf50
1675,e4,0.12474768844808826,True,Mid,caf50
1688,wt,0.1474158864867836,True,Mid,caf26
1689,wt,0.11576951780857314,True,Mid,caf26
1690,wt,0.3902526563296045,False,Mid,caf26
1691,wt,0.14950082828030853,False,Mid,caf26
1692,wt,0.323725903410528,False,Mid,caf26
1693,wt,0.040695218760328666,False,Mid,caf26
1694,wt,0.5157182699274583,False,Mid,caf26
1695,wt,0.5911892592061452,False,Mid,caf26
1757,wt,0.015717170104450284,True,Mid,eab50
1788,e4,0.04924060697455146,True,Mid,caf50
1789,e4,0.03022538890141302,True,Mid,caf50
1790,e4,0.05190269976406392,True,Mid,caf50
1791,e4,0.660792383992689,False,Mid,caf50
1792,e4,0.22291714408498597,False,Mid,caf50
1793,e4,0.08205875938465046,True,Mid,caf50
1794,e4,0.18830080309270492,True,Mid,caf50
1797,wt,0.10630226248992614,True,Mid,eab50
1798,wt,0.042962977230248,True,Mid,eab50
1807,wt,0.21743286407163898,False,Old,caf81
1808,wt,0.39453498724477676,True,Old,caf81
1809,wt,0.17084591668423554,False,Old,caf81
1810,wt,0.03023830415794615,True,Old,caf81
1811,wt,0.09593913543448407,True,Old,caf81
1812,wt,0.016887021972269434,True,Old,caf81
1817,wt,0.41456428167476767,,Mid,caf26
1818,wt,0.2930109554915916,True,Mid,caf26
1819,wt,0.1006444363598511,True,Mid,caf26
1820,wt,0.1534316527800812,,Mid,caf26
1821,wt,0.4780411150405619,False,Mid,caf26
1822,wt,0.18254437108285448,True,Mid,caf26
1823,wt,0.06407244961441738,True,Mid,caf26
1824,wt,0.11060869188904654,False,Mid,caf26
1825,wt,0.08048980288013552,True,Mid,caf26
1826,wt,0.4395113751347268,,Mid,caf26
1827,wt,0.048641765854187335,,Mid,caf26
1828,wt,0.6177100050069313,False,Mid,caf26
1829,wt,0.3687496724302368,True,Mid,caf26
1830,wt,0.028260087603091177,True,Mid,caf26
1831,wt,0.0031547615940548113,True,Mid,caf26
1832,wt,0.0020979526058406694,True,Mid,caf26
1833,wt,0.0331751972944716,True,Mid,caf26
1834,wt,0.24764371262438512,False,Mid,caf26
1835,wt,0.04475447407073263,True,Mid,caf26
1836,wt,0.28091234504394125,False,Mid,caf26
1837,wt,0.060847739440189175,True,Mid,caf26
1841,wt,0.3572495645511844,True,Young,caf95
1842,wt,0.19415429832297804,False,Young,caf95
1847,e4,0.9517369616225628,False,Mid,caf50
1848,e4,0.24425493183545322,False,Mid,caf50
1849,e4,0.7395305797541645,False,Mid,caf50
1850,e4,0.3137914858184756,False,Mid,caf50
1851,e4,1.0032141640138024,False,Mid,caf50
1852,e4,0.1710484188187833,False,Mid,caf50
1853,e4,0.18725314593222842,False,Mid,caf50
1854,e4,0.2785248629017181,False,Mid,caf50
1855,e4,0.37402065104125515,False,Mid,caf50
1856,e4,0.423190783610212,False,Mid,caf50
1857,e4,0.5642704420901512,False,Mid,caf50
1858,e4,0.31468907883303343,False,Mid,caf50
1859,wt,0.15993161612580953,,Young,caf92
1863,e4,0.089884572220154,True,Mid,caf50
1876,wt,0.056718349544663704,False,Mid,caf26
1877,wt,0.7489153321353859,False,Mid,caf26
1878,wt,0.5482395158398146,False,Mid,caf26
1879,wt,0.019217898560097035,True,Mid,caf26
1880,wt,0.2642835517801341,False,Mid,caf26
1881,wt,0.1275709511946166,False,Mid,caf26
1882,wt,0.3707291881705841,False,Mid,caf26
1883,wt,0.09111848272844236,True,Mid,caf26
1885,wt,0.049676505406660576,True,Young,caf92
1886,wt,0.1575097012122897,True,Mid,caf26
1887,wt,0.038112900591657395,True,Mid,caf26
1888,wt,0.03896082066717366,True,Mid,caf26
1889,wt,0.09883786679910411,True,Mid,caf26
1890,wt,0.027297031517618198,True,Mid,caf26
1891,wt,0.07620981716138941,True,Mid,caf26
1892,wt,0.04747730033573072,True,Mid,caf26
1893,wt,0.022949535997179638,True,Mid,caf26
1898,e4,0.045457920212691016,True,Mid,caf50
1899,e4,0.0321125194094134,True,Mid,caf50
1919,wt,0.11514816566586061,False,Mid,caf26
1920,wt,0.5211217339353582,False,Mid,caf26
1921,wt,0.11877488847884798,False,Mid,caf26
1922,wt,0.26376369704208735,False,Mid,caf26
1923,wt,0.41171632421662263,True,Mid,caf26
1924,wt,0.05816048377429062,False,Mid,caf26
1925,wt,0.14110333959564691,True,Mid,caf26
1926,wt,0.008343617525947034,False,Mid,caf26
1927,wt,0.14246572017847736,False,Young,caf95
1928,wt,0.07348339513252222,True,Young,caf95
1940,wt,0.03738371747929836,True,Young,caf95
1941,wt,0.040972194934489004,True,Young,caf95
1961,wt,0.1253822959298967,True,Old,caf81
1962,wt,0.08856815993383171,True,Old,caf81
1963,wt,0.13412290877215827,True,Old,caf81
1964,wt,0.029108781996618482,True,Old,caf81
1965,wt,0.05864206428119001,True,Old,caf81
1966,wt,0.05628502375314648,True,Old,caf81
1975,wt,0.3245317987642278,False,Mid,caf26
1976,wt,0.3220772250752233,False,Mid,caf26
1977,wt,0.1212849774393574,True,Mid,caf26
1978,wt,0.16867694527337118,False,Mid,caf26
1979,wt,0.058873431705815715,True,Mid,caf26
1980,wt,0.19498408627249364,True,Mid,caf26
1981,wt,0.6202837533243559,False,Mid,caf26
1982,wt,0.3769932698668317,True,Mid,caf26
2013,wt,0.040634223575272355,False,Young,caf95
2014,wt,0.05310569877127902,True,Young,caf95
2024,wt,0.014031242017934265,False,Young,caf95
2025,wt,0.035436815999549065,False,Young,caf95
2038,e4,0.15536122511454642,False,Mid,caf50
2039,e4,0.3446256946340063,False,Mid,caf50
2041,e4,0.14593995190969666,False,Mid,caf50
2124,wt,0.15194984978930115,False,Young,caf95
2125,wt,0.02177574952214778,False,Young,caf95
2126,wt,0.10257395743041564,False,Old,caf88
2127,wt,0.10895439792743145,False,Old,caf88
2137,wt,0.031547689616616914,False,Young,caf95
2138,wt,0.016654435046541183,False,Young,caf95
